Label,EmailText,EmailTextBR
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: Para usar seu crédito, clique no link WAP na próxima mensagem de texto ou clique aqui >> http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,Oh k...i'm watching here:),"Oh, eu estou assistindo aqui:)"
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,"É você lembrar como escrever seu nome? Sim, eu fiz isso. Ele era muito chato até que eu me senti quente."
ham,Fine if thats the way u feel. Thats the way its gota b,Ótimo se você acha que é o jeito certo. Isso é como está acontecendo.
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Â¼1.20 POBOXox36504W45WQ 16+","England x Macedônia - não perca os gols / notícias do time. Envie sua seleção nacional para 87077, por exemplo: ENGLAND para 87077 Tente: WALEs, SCOTLAND 4txt/Â¼1.20 POBOXox36504W45WQ 16+"
ham,Is that seriously how you spell his name?,É realmente como você escreve o seu nome?
ham,I·m going to try for 2 months ha ha only joking,"Eu vou tentar por dois meses, hehe só brincando."
ham,So _ pay first lar... Then when is da stock comin...,"Então, quando é a ação chegando?"
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,"Aqui está a tradução:  Depois de terminar minha refeição, então eu vou para baixo. Espero que você tenha terminado sua refeição também?"
ham,Ffffffffff. Alright no way I can meet up with you sooner?,"Ffffff. Tudo bem, não posso encontrar você mais cedo?"
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,"Estou forçando-me a comer uma fatia. Na verdade, não estou com fome. Isso é ruim. Mark está ficando preocupado. Ele sabe que eu estou doente quando recuso o pizza. Haha"
ham,Lol your always so convincing.,Olha só como você é sempre tão convincente.
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Você pegou o ônibus? Você está cozinhando ovos? Você fez uma chá? Você está comendo as sobras do jantar da mãe? Você sente meu amor?
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",Eu volto e estamos preparando o carro agora. Lamento informar que não posso dizer se haverá espaço.
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahah. Trabalho. Lembro vagamente disso! Como é? Rá!
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Aguarde que ainda não está tudo claro, você não estava confuso sobre eu ser sarcástico ou por isso que x não quer viver com nós."
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,"Sim, ele entrou às 2 e estava muito desculpado. Ela tinha se machucado e ele acabou ficando envolvido nisso. Até as 2! Mas vamos não ir lá! Não está fazendo tão mal assim. Você?"
ham,K tell me anything about you.,"Certo, fale-me qualquer qualquer coisa sobre você."
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,"Por medo de desmaiar com todas as tarefas da casa que você acabou de fazer? Tá bom, beba uma xícara."
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,"Obrigado por sua subscrição à Ringtones UK, seu telefone será cobrado Â£5/mês. Por favor confirme respondendo SIM ou NO. Se responder NO, você não será cobrada."
ham,Yup... Ok i go home look at the timings then i msg _ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,"Sim... Vou ir para casa e ver as notícias, depois eu mudo a mensagem novamente... Xuhui vai aprender em 2 de maio também, mas sua aula é às 8h."
ham,"Oops, I'll let you know when my roommate's done","Oops, eu te avisare quando meu colega está pronto."
ham,I see the letter B on my car,Eu vejo a letra B na minha carroça.
ham,Anything lor... U decide...,O que você quer dizer?
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,"Olá! Como está tudo e como foi o sábado? Era só me comunicar para saber se você já havia decidido fazer alguma coisa. Não que eu esteja tentando convidar-me, claro!"
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Pls vá em frente com watts. Eu só queria estar certo. Tenha um ótimo fim de semana. Abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you... But most of all... I love you my sweet Arabian steed... Mmmmmm... Yummy","Simplesmente, eu esqueci de te dizer. Eu preciso de você, eu quero de você, eu adoro você... Mas acima de tudo... Eu amo você meu cavalinho árabe mágico... Mmmmmm... Delicioso"
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,"07732584351 - Rodger Burns - MSG = Tentei liga-lo você sobre sua resposta à nossa SMS para um telefone celular Nokia gratuito + câmera de vídeo gratuita. Por favor, ligue agora 08000930705 para entrega amanhã"
ham,WHO ARE YOU SEEING?,QUE OS VISTO?
ham,Great! I hope you like your man well endowed. I am 1234;  inches...,Great! Eu espero que você goste do seu homem bem desenvolvido. Sou #... polegadas...
ham,No calls..messages..missed calls,Não chamadas... mensagens... chamadas perdidas.
ham,Didn't you get hep b immunisation in nigeria.,Não você não recebeu a vacina contra o vírus da hepatite B na Nigéria.
ham,"Fair enough, anything going on?","Claro, acontece alguma coisa?"
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","Sim, talvez se ele não conseguir eu pudesse perguntar para algumas pessoas."
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,Não sabes como estou determinado. Eu não queria ir ao hospital. Eu estava dizendo para Mark que eu sou uma fraca sujeira. Os hospitais são para fracos sujeiras.
ham,What you thinked about me. First time you saw me in class.,O que você pensou de mim? Primeira vez que você viu mim na aula.
ham,"A gram usually runs like 1234; , a half eighth is smarter though and gets you almost a whole second gram for 1234;","A gram geralmente corre como1234;, um meio oitavo é mais inteligente e te dá praticamente uma metade de segundo para1234;."
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,"K fyi, ele tem uma corrida cedo amanhã mas está quebrando aqui à noite."
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.","Wow. Eu nunca me imaginei que você estava tão envergonhado com suas acomodações. Eu pensava que você gostava, porque eu sempre fazia o melhor que podia e você sempre parecia tão feliz sobre oas cavernas. Eu sinto muito por não ter e não ter mais para dar. Eu sinto muito por oferecer. Eu sinto muito com sua quarto ser tão envergonhado."
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SMS. Ac Sptv: Os Novos Jersey Devils e os Detroit Red Wings jogam Hóquei no gelo. Correto ou incorreto? Final? Resposta FINAL SPTV
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,Você sabe o que a Mallika Sherawat fez ontem? Descubra agora @ <URL>
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ","Parabéns! Seu passaporte especial para cinema de 1 ano é seu. Ligue agora: 09061209465! Suprman V, Matrix3, StarWars3, etc. todos 4 GRÁTIS! bx420-ip4-5we. Às 150pm. Não perca essa oportunidade!"
ham,"Sorry, I'll call later in meeting.","Desculpe, eu farei a chamada mais tarde no encontro."
ham,Tell where you reached,Diga onde você chegou.
ham,Yes..gauti and sehwag out of odi series.,Sim... gauti e sehwag saíram do campeonato de ODI.
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,Você vai ter que pegar um $1 de hamburger para você mesmo no caminho da casa. Eu não consigo mover nem um músculo. A dor está matando mim.
ham,Ha ha ha good joke. Girls are situation seekers.,Aha aha aha boa piada. Mulheres são buscadoras de situações.
ham,Its a part of checking IQ,É uma parte da verificação do IQ.
ham,"Sorry my roommates took forever, it ok if I come by now?","Desculpe que os meus colegas demoraram tanto, é normal se eu vire agora?"
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,"Ok, já me dou uma segunda olhada com a cabeleireira e ele disse que cortará até eu ficar bonito."
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","Como um cliente valioso, peço licença para informá-lo que, após o recente exame de sua Mob No., você foi concedido com uma Prêmio de Â£1.500, ligue em 09066364589."
ham,"Today is song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","Hoje é um dia dedicado a uma música... Qual música você gostaria que eu dedicasse para mim? Responda isso a todos os seus amigos valiosos, mas primeiro responda-me..."
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","Urgente: UR recebeu um viajante gratuito para EuroDisinc Trav, Aco&Entry41 Or £1000. Para reclamar, escreva DIS para 87121 18+6*£1.50(maisFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ."
spam,"Did you hear about the new Divorce Barbie""? It comes with all of Ken's stuff!",Houve você ouvido sobre o novo Divórcio Barbie? É com todos os itens de Ken!
ham,I plane to give on this month end.,Eu planeio dar nesse fim de mês.
ham,Wah lucky man... Then can save money... Hee...,O homem sorteado... E pode economizar... Hei...
ham,Finished class where are you.,Você está em qual aula terminada?
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,"Olá, beijo eu estou em casa agora quero fazer alguma coisa? XXX"
ham,K..k:)where are you?how did you performed?,K...k:) onde você está? como você se sentiu?
ham,U can call me now...,Você pode chamar-me agora...
ham,I am waiting machan. Call me once you free.,Eu estou aguardando para ser chamado. Chame-me quando você for livre.
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,Isso é legal. Sou um homem de honra e te trato com dignidade e respeito.
ham,I like you peoples very much:) but am very shy pa.,"Eu te amo muito, mas sou muito tímido."
ham,Does not operate after 1234;  or what,Não funciona após1234;.
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,É diferente aqui. Continue procurando um emprego. Quanto ganha Ta lá?
ham,"Sorry, I'll call later","Desculpe, eu ligo mais tarde."
ham,K. Did you call me just now ah? ,"K. Você chamou-me apenas agora, hein?"
ham,Ok i am on the way to home hi hi,"Olá, estou no caminho para casa."
ham,You will be in the place of that man,Você estará no lugar do homem.
ham,Yup next stop.,"Sim, próximo ponto de parada."
ham,"I call you later, don't have network. If urgnt, sms me.","Eu chamo você mais tarde, não tenho conexão à internet. Se urgente, envie-me o SMS."
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,"Para verdade quando você chegar lá? Eu só preciso de mais dois bilhetes e um mais uma jaqueta, e estou pronto. Já usei todos meus multis."
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,"Sim, comecei a enviar solicitações para fazer isso mas o dores voltaram então volto na cama. Também tenho que pagar todas as minhas nitrogênios."
ham,I'm really not up to it still tonight babe,"Estou realmente não conseguindo hoje, beijão."
ham,"Ela kano.,il download, come wen ur free..","Ela pode baixar, mas é gratis."
ham,Yeah do! stand to close tho- you·ll catch something!,"Sim feito! Não se esforça para fechar, você vai pegar alguma coisa!"
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,"Desculpe por ser um problema. É okay se podemos nos encontrar em outra noite? Eu estive na urgência durante a tarde e isso significa que eu não fiz nenhuma das minhas coisas, incluindo todos os meus relatórios de horas trabalhadas e isso. Desculpe."
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Sorriso em Prazer Sorriso em Doença Sorriso quando a dor chega como chuva Sorriso quando alguém te macha Sorriso porque alguém ainda ama ver você sorriendo!
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,"Por favor, ligue para nossa representante de atendimento ao cliente em 0800 169 6031 entre 10h-21h como você ganhou um prêmio garantido de Â£1.000 ou Â£5.000!"
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,Houve planejamento para comprar mais tarde. Eu verifiquei já no Lido apenas consegui 530 shows na tarde. Você terminou o trabalho ainda?
spam,"Your free ringtone is waiting to be collected. Simply text the password MIX"" to 85069 to verify. Get Usher and Britney. FML",Seu som livre está aguardando ser coletado. Basta enviar a senha MIX para 85069 para verificar. Obtenha Usher e Britney. FML
ham,Watching telugu movie..wat abt u?,Vendo filme telenovela... o que tu acha?
ham,i see. When we finish we have loads of loans to pay,"Eu vejo. Quando terminarmos, teremos muitas dívidas a pagar."
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""
ham","Olá. Estou bem, mas estou de férias agora! Sim, vou fazer um passeio rápido. Esqueci que tenho uma consulta com o barbeiro às 16h, então preciso ir para casa antes para tomar banho. Isso causará problemas pra você?"
ham,Please don't text me anymore. I have nothing else to say.,"Por favor, não envie mais mensagens para mim. Não tenho nada mais a dizer."
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,"Okay, nome o preço quanto for legal! Quando posso pegá-los? Por que tem x amas xx."
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,Eu ainda estou procurando um carro para comprar. E não realizei o teste de dirigir ainda.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"Como solicitado, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' foi configurada como a chamada-tônica para todos os chamadores. Pressione *9 para copiar sua chamada-tônica de amigos."
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","Ótimo. Você está correto! Não queria fazer isso. Talvez eu tenha dado por fim ao Boston Men e mudado minha localização de busca para Nova York, algo mudou. De acordo com a página de login, ainda diz Boston."
ham,Umma my life and vava umma love you lot dear,"Eu meus dias e eu te amo muito, querido."
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,Obrigado muito pelas suas boas-vindas para com minha aniversário. Obrigado por tornar meu aniversário realmente inesquecível.
ham,"Aight, I'll hit you up when I get some cash","Aqui está, aguarde quando eu tiver dinheiro."
ham,How would my ip address test that considering my computer isn't a minecraft server,Como eu faria o teste de IP considerando que meu computador não é um servidor Minecraft?
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,"Eu sei! Velhos grudentes. Minha mãe era como você, melhor não ser mentindo. E depois que eu sou o sempre o que faz piadas..."
ham,Dont worry. I guess he's busy.,Não se preocupe. Acho que ele está ocupado.
ham,What is the plural of the noun research?,O plural do substantivo pesquisa é pesquisas.
ham,Going for dinner.msg you after.,Vou para almoço.
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,Eu estou bem com isso porque eu gosto de tentar novas coisas. Mas fico assustado que você não goste da minha maneira. Porque você disse não muito alto.
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT! Estamos tentando contato com vocês. Os sorteios de ultimamente mostram que você ganhou um prêmio garantido de £1000. Ligue 09064012160 para reclamar o código K52. Este é válido apenas por 12 horas.
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","Wa, a frase aberta está muito formale... Mas, eu estou bem também, só tô comendo demais e ganhando peso... Hahaha... Então, alguma coisa especial aconteceu?"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","Quando eu entrou no meu quarto, o meu PA disse, Feliz aniversário Chefe!!. Eu senti-me especial. Ela perguntou para mim sobre almoço. Depois do almoço ela me convidou para sua casa. Fomos lá."
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,"Você é um vencedor. Você foi especialmente selecionado para receber R$ 1.000,00 ou uma viagem de quatro estrelas (com voos incluídos). Ligue para um operador vivo para reclamar em 087-127-78-109-10p/min (18+)"
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,"Olá! Sim, precisamos falar quarta-feira. Por favor, informe o percentual de óleo para a torta!"
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,"Hmm... meu tio informou que está pagando a escola diretamente. Então, compre comida."
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,"Seu Relatório de Conta Privado para o ano de 2004, referente ao número de conta 07742676969, mostra 786 pontos de Bônus não convertidos. Para reclamar, ligue em 08719180248 Identificador: 45239 Vencido"
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","URGENTE! Seu número móvel foi premiado com R$ 2.000 em prêmio do chamador no dia 5/9/03 Esta é nossa última tentativa de contato com você! Ligue por fone fixo (09064019788) na caixa 42, bloco WR29C, 150PPM"
ham,here is my new address -apples&pairs&all that malarky,Aqui está meu novo endereço – apples&pairs&tudo isso de malhar.
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,"Todas as números de hoje que terminam em 7548 foram selecionadas para receber um prêmio de $350. Se você tiver uma coincidência, por favor ligue para 08712300220 mencionando o código de reclamação 4041 com taxas padrão da aplicação."
ham,I am going to sao mu today. Will be done only at 12 ,Eu vou para São Paulo hoje. Vou fazer apenas às 12h.
ham, predict wat time _'ll finish buying?,"Agora, eu não posso realizar essa tradução pois o texto contém um caractere especial que é ilegal para mim."
ham,"Good stuff, will do.","Boa coisa, vou fazer."
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","Então, para que você saiba, ainda não enviou dinheiro. Eu apenas enviei uma mensagem para ela para não ter de enviar novamente. Então está acabado, você não precisa se envolver em nada mais. Não deveria ter imposto nada em você na primeira vez, então peço desculpas por isso."
ham,Are you there in room.,Estou você em quarto.
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,"Olá garota. Como está? Espero que esteja bem, eu e do meu coração também! Vamos nos ver mais vezes daqui a um tempo, Lucy xx."
ham,K..k:)how much does it cost?,Como custa?
ham,I'm home.,Eu sou em casa.
ham,"Dear, will call Tmorrow.pls accomodate.","Olá, aguarde o amanhã. Por favor, reserve."
ham,First answer my question.,"Primeira, responda a minha pergunta."
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,"A luz do sol Quiz Semanal! Ganhe um top Sony DVD Player se você sabe qual país é o Algarve? Responda ao número 82277. R$ 1,50: Tyrone"
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,Quero pegar com alguém esta noite? Quero localizações reais de pegagem enviadas diretamente para o meu grupo? Junte-se à maior rede de pegagem do Reino Unido por meio da mensagem GRAVEL para 69888! Não. ec2a. 31p.msg@150p
ham,I only haf msn. It's yijue@hotmail.com,Eu só tenho MSN. É yijue@hotmail.com.
ham,He is there. You call and meet him,Ele está lá. Ligue e encontre-o.
ham,No no. I will check all rooms befor activities,"Não, não vou verificar todas as camas antes das atividades."
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,"Você não receberá mais mensagens do serviço de chat. Para serviços gratuitos de hardcore, envie para: 69988 Se nada acontecer, você deve realizar a verificação da idade com seu provedor de internet e tente novamente."
ham,Got c... I lazy to type... I forgot _ in lect... I saw a pouch but like not v nice...,"Obtive... Eu sou um pouco cansado de digitar... Esqueci o '' na leitura... Vi uma bolsa, mas não achei muito bonita."
ham,"K, text me when you're on the way","K, aguarde quando estiver no caminho."
ham,"Sir, Waiting for your mail.","Senhor, aguardando seu email."
ham,"A swt thought: Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",Aqui está a tradução do texto em português:  Um pensamento sábio disse: Não se canso de fazer pequenos detalhes com pessoas amadas. Pois... às vezes esses pequenos detalhes ocupam o maior espaço em seus corações. Bom dia!
ham,I know you are. Can you pls open the back?,"Eu sei que você é. Pode abrir a porta de trás, por favor?"
ham,Yes see ya not on the dot,"Sim, até a próxima."
ham,Whats the staff name who is taking class for us?,Qual o nome do pessoal que está ministrando a classe para nós?
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","Por favor, responda ao meu texto. Eu sou Randy, sexy, feminina e moro perto. Gostaria de ouvir de você. Netcollex Ltd: 0870-0621170150p por mensagem de resposta. Parar para encerrar."
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,"Uma vez que o check-in forneça, chamaremos após. Vamos começar nossa vida em Qatar, então por favor, orie muito forte."
ham,K..i deleted my contact that why?,K... eu excluí minha contagem por quê?
ham,Sindu got job in birla soft..,Sindhu obteu emprego na Birla Soft.
ham,The wine is flowing and i'm i have nevering..,O vinho corre e eu nunca bebi...
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,"Sim, eu acho que o cinema é melhor porque não preciso ir para o Plaza."
ham,Ok... Ur typical reply...,Ok... A resposta típica...
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"Como solicitado, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' foi configurada como a chamada-tônica para todos os chamadores. Pressione *9 para copiar sua chamada-tônica de amigos."
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.","Você está em todos os lugares sujo, na mesa, nas janelas, até mesmo no meu shirt. E às vezes quando abro minha boca, você é tudo que vem fluindo para fora. Eu sonho de um mundo sem você, então metade das minhas tarefas também saem. Um tempo de alegria para mim, muitos programas de TV eu veria. Mas eu suponho como todos os coisas, você deve existir, como chuva, neve e névoa, e quando minha hora terminar aqui, você e eu tornamos um."
ham,Aaooooright are you at work?,Aaaahora você está trabalhando?
ham,I'm leaving my house now...,Eu estou deixando minha casa agora...
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?","Olá, meu amor. O que você está fazendo? Você chegou na entrevista hoje? Está feliz? Estás sendo um bom menino? Pensa em mim?Estás se sentindo ausente?"
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,"Cliente de serviços: Você tem uma entrega do Ano Novo aguardando por você. Por favor, ligue agora no número 07046744435 para agendar a entrega."
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,Você é um vencedor. Você foi especialmente selecionado para receber R$ 1.000 em dinheiro ou uma viagem de quatro estrelas (com voos incluídos). Ligue para um operador vivo para reclamar. Ligue agora: 871277810810
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,Ame-te mesmo porque preciso de ti e já te penso desde que estou aqui.
