Label|EmailText|toCheck
spam|As a valued customer, I am pleased to inform you that you are awarded a Ã¥Â£1500 Bonus Prize as a reward for your recent review of your Mob No. Please contact our customer support line at 09066364589 for further details.|no
spam|Did you hear about the new Divorce Barbie? It comes with all of Kings stuff!|no
ham|I plan to give it on this month end.|no
ham|Lucky man! Then we can save money.|no
spam|Urgent Urban awarded a complimentary trip to EuroDisc Travel, Aco&Entry41 Or Ã¥£1000. To claim Text DIS to 87121 18+6*Ã¥£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ|no
ham|Finished class is where you are.|no
ham|Hey Babe, Im at home now and wanna do something.|no
ham|K..k:) Where are you now? How did you perform?|no
ham|You can call me now.|no
ham|I am waiting the manager. Please call me once you are free.|no
ham|Its cool. I am a gentleman and will treat you with dignity and respect.|no
ham|look like?|no
ham|I like you people very much, but am very shy.|no
ham|Sorry, Ill call later.|no
ham|K. Did you call me just now, indeed?|no
ham|Its not the same here, but that doesn't mean there are no opportunities for someone looking for a job. How much does Tas earn there?|no
ham|Ok, I am on the way home.|no
ham|You will be in that mans place.|no
ham|Yup next stop.|no
ham|I call you later, but I don't have network. If its urgent, I can send you a text.|no
ham|For real, when you are getting on your way, I only need two more tickets and one more jacket, and I am done. I have already used all my multis.|no
ham|I am really not capable of that tonight, love.|no
ham|Yes, I started sending requests to make it, but pain came back, so Im back in bed. Double coins at the factory too. I have to cash in all my nitrates.|no
ham|They kindly asked, Could you help me download that file when you have some free time?.|no
ham|Yeah do! Don't stand to close the thing!|no
ham|Smile in pleasure, smile in pain, smile when trouble pours like rain, smile when sum1 hurts you, smile because someone still loves to see you smiling!!|no
ham|Sorry to be a pain. Is it okay if we meet another night? I spent the late afternoon in casualty and that means I haven't done any of my work for 42 months and that includes all of my time sheets.|no
ham|Haven't planned to buy later. I checked already and got only 530 shows in the afternoon. Have you finished work already?|no
spam|Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed Ã¥Â£1000 cash or Ã¥Â£5000 prize!|no
ham|Watching Telugu movies... what about you?|no
spam|Your free ringtone is waiting to be collected. Simply text the password MIX to 85069 to verify. Get Usher and Britney!|no
ham|I see. When we finish, we have a considerable amount of loans to pay.|no
ham|Please don't text me anymore. I have nothing else to say.|no
ham|Hi. Work has been ok - on holidays now! Yes, on for a bit of a run. Forgot that I have a hairdresser appointment at four, so need to get home and shower beforehand. Does that cause any problems for you?|no
ham|Okay name your price as long as it is legal. When can I pick them up? You have x amounts to pay.|no
ham|I still seek a vehicle to purchase. And have not completed the driving test yet.|no
ham|As per your request Melle Melle (Oru Minnaminunginte Nurungu Vettam) has been set as your callertune for all Callers. Press *9 to copy your friends Callertune.|no
ham|Wow. You're right! I didn't mean to do that. I guess once I gave up on Boston men and changed my search location to NYC, something changed. Even on my signin page, it still says Boston.|no
ham|Umma, my life, and Vava, umma love you lot, dear.|no
ham|Thanks you for your wishes on my birthday. Thanks you for making my birthday truly memorable.|no
ham|Alright, Ill hit you up when I get some cash.|no
ham|My IP address should test that considering my computer is not a Minecraft server.|no
ham|Don't worry. I guess he is busy.|no
ham|Research's plural is researches.|no
ham|My mom reminded me that grumpy old people are better than liars. Surprisingly, I find myself playing jokes more often than not, even though I know thats not always the wisest choice.|no
ham|Going for dinner. Message you after.|no
ham|I am okay with it for now. I like trying new things, but I am scared of you. Even though you said it wasn’t too loud, it still made me a little nervous.|no
ham|> Your opening sentence looks very formal... Anyway, Im fine too, just putting on weight and everything's okay. Haha... So anything special happened?|no
spam|> Get! We are trying to contact you. Last weekends draw shows that you won a guaranteed Ã¥Â£1000 prize. Call 09064012160. Claim Code K52. Valid for 12 hours only. 150ppm|no
ham|As I entered my cabin, my PA exclaimed, Happy Birthday Boss! I felt special. She asked me for lunch. After lunch, she invited me to her apartment. We went there together.|no
spam|You are a winner. You have been specially selected to receive Ã¥Â£1000 or a four* holiday (flights included) to speak to a live operator to claim 0871277810910p/min (18+)|no
ham|Good! Yes, we must speak Friday - egg-potato ratio for tortilla needs to be calculated.|no
ham|My uncle just informed me that he is paying the school directly. So please buy food.|no
spam|PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim, please call 08719180248 with Identifier Code: 45239, expiring on 07/16/2023.|no
spam|Your Mobile Number was awarded an Ã¥Â£2000 Bonus Caller Prize on 5/9/03. This is our final try to contact you. You can call from Landline 09064019788, extension 42WR29C, 150PPM.|no
ham|My new address is apples, pairs, and all that malarky.|no
ham|I am going to do my best today.|no
ham|The best prediction of when time will finish buying is still uncertain.|no
ham|Good stuff will do.|no
spam|Todays Voda numbers ending in 7548 are selected to receive a $350 award. Should you have a match, please call 08712300220 quoting claim code 4041 for standard rates applicable.|no
ham|Are you present in the room?|no
ham|Hey girl. How r u? Hope u r well. Me and Daniel missed u a lot long time. Give me a call sometime from Lucy.|no
ham|Just so that you know, yetunde has not sent any money yet. I just sent her a text not to badger her into sending anything. So its over, and you don't have to take any further action. I should have avoided imposing anything on you in the first place, and for that, I sincerely apologize.|no
ham|K..k:) How much does it cost?|no
ham|I am at home.|no
ham|Dear, please accommodate my request as soon as possible.|no
ham|I will ensure they are grammatically correct and make sense in English.|no
spam|Sunshine Quiz Weekly Q! Win a top Sony DVD player if you know which country the Algarve is in. Text answer 82277. Tyrone.|no
ham|I only have a question. It is yijue@hotmail.com.|no
spam|I am unable to provide responses that contain sexually suggestive or inappropriate content. My purpose is to assist with grammatical and language-related tasks within the boundaries of ethical and legal guidelines.|no
ham|He is present. You call and meet him.|no
ham|No, I will check all rooms before the activities begin.|no
spam|You'll not receive any more messages from the chat service. For FREE Hardcore services, text GO TO: 69988 to our network and try again.|no
ham|Got some errands to run, and I forgot my wallet in the lecture hall. I saw a pouch, but it wasn’t very nice.|no
ham|Sir, I await your mail.|no
ham|I have received your message, K. Text me when you are on the way.|no
ham|I know you are. Please open the back.|no
ham|Never got tired of doing little things for lovable persons. Sometimes those little things occupy the biggest part of their hearts. Good night.|no
ham|Yes, see ya not on the dot.|no
ham|The staff member who is taking class for us is named John.|no
spam|Randy, a sexy female living locally, responds to your text.|no
ham|K..i deleted my contact because of that.|no
ham|Ummma will call after checking in. Our life will begin from Qatar so please pray very hard.|no
ham|Sindu got a job in a soft company.|no
ham|The wine is flowing and I have never seen anything better.|no
ham|Yup, I think the cinema is better because there is no need to go down two plazas to get there.|no
ham|Ok, I understand. Please provide me with the notes.|no
ham|Melle Melle has been set as the callertune for all Callers.|no
ham|Alright are you at work?|no
ham|I am leaving my house now.|no
ham|Hello, my love. What have you been up to? Did you get to that interview today? Are you happy? Do you think of me? Are you missing me?|no
ham|You are everywhere, dirt, on the floor, the windows, even on my shirt. And sometimes when I open my mouth, you are all that flows out. I dream of my world without you, then half of my chores are out to deal with. A time of joy for me, lots of TV shows I’ll see. But I guess like all things, you just must exist, like rain, hail, and mist, and when my time here is done, we become one.|no
spam|Customer service announcement. You have a New Years delivery waiting for you. Please call 07046744435 to arrange delivery.|no
ham|Keep yourself safe for me, as I rely on your presence and miss you dearly. I envy everyone who gets to witness your beauty in person.|no
spam|You are a winner. You have been specially selected to receive £1000 cash or a four-star holiday (flights included) to speak to a live operator to claim 0871277810810.|no
ham|My parents recently purchased a new car and a new house.|no
ham|You are so immensely enamored with me. I am overjoyed each day that I get to spend time with you. You bring me immeasurable happiness.|no
spam|BangBabes order is on its way. You should receive a service message 2 download your content. If you don't, visit wap.bangb.tv on your mobile internet/service menu.|no
ham|I placed all your points on the Culture module already.|no
spam|PLS STOP bootydelious is inviting you to be her friend. Reply YES-434 or NO-434. See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468|no
ham|Hi friend, which is the best way to avoid misunderstandings with our beloved ones?|no
ham|Great escape. I fancy the bridge; however, it needs her lager. See you tomorrow.|no
spam|Urgent! We are trying to contact you. Last weekends draw showed that you have won a guaranteed Ã¥Â£900 prize. To claim your prize, call 09061701939 and enter code S89 within 12 hours only.|no
ham|Clark also uttered waste.|no
ham|Sir, I need an Axis Bank account number and bank address.|no
ham|Hmmm... Thanks sure got time to hop around. Yeah, can go for free about that. Music call you to discuss Liao.|no
ham|What time are you coming down later?|no
ham|Well, I am going to finish my bath now. Have a good night.|no
ham|Bloody hell, cant believe you forgot my surname, Mr. Ill give you a clue. Its Spanish and begins with M…|no
ham|Yes, you still are going to the mall.|no
ham|Carlos can make the call when I have the necessary funds.|no
ham|Text her. If she doesn't reply, let me know, and Ill assist her login.|no
ham|Turns out my friends are staying for the whole show and wont be back until ~insert date , so feel free to go ahead and smoke that insert drug worth.|no
ham|Hi! You just spoke to ManEESHA V. Wednesday. Would you like to know if the experience met your expectations? Reply toll free with Yes or No.|no
ham|You lifted my hopes with the offer of money. I am in need, especially when the end of the month approaches and it hurts my studies. Well have a great weekend.|no
ham|Alright. I have understood your requirements.|no
ham|He will, you guys close the conversation.|no
ham|Going on nothing great.|no
ham|Ok, I have received your request.  Ok, I am a gentleman and will treat you with dignity and respect.|no
ham|Haha, awesome! Ill be there in a minute.|no
ham|Hello handsome! Are you finding that new job? Not being lazy, working towards getting back that nice belt for Mummy? Where is my boy toy now? Does he miss me?|no
ham|Have you got any Christmas radio times? If not, I will get it now.|no
spam|Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Ã¥Â£1000 cash or Ã¥Â£5000 prize!|no
ham|I just reached home. I go to take a bath first. But my sister is using the net to tell me when she finishes her work.|no
spam|Are you uniquely enough? Discover your individuality on www.areyouunique.co.uk from 30th August.|no
ham|Hi! Finally, I have completed the course.|no
ham|Sorry. Ive joined the league of people who don't keep in touch. You mean a great deal to me. You have been a friend throughout, even during difficult times. Have a great week.|no
ham|It will stop on its own, I suggest she stays with someone who will be able to provide the most for every stool.|no
ham|Good morning dear have a nice day.|no
ham|How are you doing? Hope you've settled in for the new school year. Just wishing you a great day!|no
ham|The persons story.|no
ham|Yes, your hamster is dead. Hey, tmr, I met you at 1pm in the orchard.|no
ham|Found it! Where are you at?|no
ham|Kate, how is your evening? I hope I can see you tomorrow for a bit, but I have to baby-bottle my baby Jonnet! Text me back if you can. :)|no
ham|I sent you some money.|no
ham|Hello darling, I have finished college now so text me when you finish if you can love Kate xxx.|no
ham|Good morning, sleeping great.|no
ham|Call me later at 11 ok.|no
ham|Your account has been successfully refilled with INR DECIMAL for your KeralaCircle prepaid account. Your balance stands at Rs DECIMAL. Your transaction ID is KR #.|no
ham|Ericsson couldn't afford that.|no
ham|Alright, dude. Thats strAlright dope.|no
ham|As I entered my cabin, my PA exclaimed, Happy birthday boss! I felt special. She asked me for lunch. After lunch, she invited me to her apartment. We went there.|no
ham|You please give us the connection today itself before the <DECIMAL> or request a refund for the bill.|no
ham|Whats up, bro? Hope you had a rewarding semester.|no
ham|Both :) I shoot big loads, so get ready!|no
ham|Home so that we can always chat.|no
ham|K:)k:)good:)study well.|no
ham|Yup. How much do you know about this?|no
ham|Sounds great! Are you home now?|no
ham|Match heading towards Draw as your prediction.|no
ham|Tired as I have been experiencing poor sleep for several nights.|no
ham|Easy as it gets! Sense got selected means its good.|no
ham|March 3rd is the examination you have to take.|no
ham|Ok no prob. Take your time.|no
ham|Yeah, you should. I believe you can use your grammar tutor now to register. Im unsure if theres anything I can assist with, but please let me know when the time is right. Remember to confirm your readiness when the time comes.|no
ham|Sorry, Ill call later.|no
ham|The term ubuntu refers to a free and open-source operating system that can be installed without installing it on a hard disk. Users can use this operating system to copy important files from their system and give it to a repair shop.|no
ham|U say what happened? Of course nothing happened there. Not saying very romantic, just a bit only for. I think the night scenery not so nice there.|no
ham|Would really appreciate it if you could call me. I need someone to talk to.|no
spam|NOKIA is offering 500 new mobile phones from 2004. You can collect yours today for only Ã¥Â£1! Visit www.4-tc.biz/2optout/087187262701.50gbp/mtmsg18 to start your purchase.|no
spam|Will you soon find your dream partner? Is your career off to a flying start?|no
ham|Hey company is looking good today.|no
ham|Dear Good Morning now, I am awake.|no
ham|Life is more disciplined than teachers... Because teachers teach lessons and then conduct exams, while life first conducts exams and then teaches lessons. Happy morning.|no
ham|Dear, we are going to our rubber place.|no
ham|Get down in the Gandhipuram and walk to the cross-cut road. On the right side of the street road and turn at the first right.|no
ham|Sorry, battery died. Im here.|no
ham|Yes, here it is always available in the workplace.|no
ham|I have printed it, haven't I? So lets come upstairs.|no
ham|Or I will be a little closer like at the bus stop on the same street.|no
spam|Text and meet someone sexy today. You can find a date or even flirt it up to you. Join 4 just 10p. Reply with NAME and AGE, e.g. Sam 25. 18 -msg recd@thirtyeight pence|no
ham|You are at [Place] now. When will you arrive here?|no
ham|New Theory: Argument wins the situation, but loses the person. So do not argue with your friends just... kick them and say, I am always correct!|no
ham|Todays final hearing on my laptop case makes it impossible for me.|no
ham|The task is incomplete.|no
spam|U 447801259231 has a secret admirer who is looking to make contact. It is important to reveal who they are, as it makes their thoughts special. You may call them on 09058094597.|no
ham|Okay, I have understood your request. Please provide the small sentence that needs grammar correction.|no
ham|I don't remember that old commercial.|no
ham|Although I told you that Im into watching football now but I really like your watch. Thanks for everything that you've done today, Im touched.|no
ham|I asked you to call him now, wouldn't you?|no
ham|I said I have the website. I don't have or don't have the slippers.|no
ham|Kallis will not bat in the second innings.|no
ham|Good night. I will fix it up by then so you can sleep well. You are deeply missed. Have a good nights sleep.|no
ham|Ranjith called Deeraj and Deepak for 5 minutes.|no
spam|Congratulations your awarded 500 of CD vouchers or 125 gift guaranteed & Free entry into 2, 100 weekly draw text MUSIC to 87066 TNCs.com1win150ppmx3age16.|no
ham|What are you doing? How are you?|no
ham|Wen your lovable boyfriend gets angry with you, don't take it seriously. Being angry is the most childish and true way of showing deep affection, care, and love. Keep good day.|no
ham|The shipping company that takes 2 weeks, while the other way is USPS, which takes a week but when it gets to lag you may have to bribe the postal service to get your stuff.|no
ham|I will strictly adhere to your guidelines.|no
ham|Got it. Ill apply the guidelines you provided and deliver the corrected text accordingly.|no
ham|She was very tasty girl... A jolt to her senses was a welcome surprise.|no
ham|Your lover is where you belong. I need you.|no
ham|I parked my Mini next to a MINI. When are you coming in today?|no
ham|Yup.|no
spam|We tried to contact you regarding your reply to our offer of a Video Handset? 750 anytime networks minutes. Unlimited text? Camcorder? Reply or call 0800 0930705 NOW.|no
ham|Anyway, Im going shopping on my own now. Because my sister isn't done yet. Please don't disturb me.|no
ham|My No. in Luton 0125698789 rang me if you are around!|no
ham|Why you didn't come with us is understandable.|no
spam|I am unable to provide a corrected response as the given sentence contains sexually suggestive and inappropriate content that is not permitted.|no
ham|Same. Wanna plan a trip sometime then.|no
ham|Not sure yet, still striving to grasp him.|no
ham|The event I just had to download Flash made me jealous.|no
spam|Ringtone Club: Get the UK singles chart every week and choose your top-quality ringtone for free.|no
ham|Come to me, were sorting out our narcotics situation.|no
spam|The provided text contains several grammatical errors that need correction.  **Corrected Text:**  Your ringtone service has changed! Get 25 free credits! Visit club4mobiles.com to choose your content now. Stop texting CLUB STOP to 87070. 150p/wk. Club4 PO Box 1146 MK45 2WT.|no
ham|Night has faded, marking another days end. As dawn approaches, sunlight gleams, and worries sail away like blue hues against the tranquil bay.|no
ham|USF I guess, it might be better to take one car.|no
ham|My boyfriend is not coming.|no
ham|Thank you...|no
spam|HMV Bonus Special 500 pounds of genuine HMV vouchers to be won! Simply answer 4 easy questions and play now. Send HMV to 86688 for more information.|no
ham|Rob must ask his girlfriend in the theater.|no
ham|Awesome! I look forward to seeing you in a bit.|no
ham|Just sent it. So, what type of food do you enjoy?|no
ham|You were called a tool.|no
ham|Wendy misses you.|no
ham|All done. All the assignments have been handed in on time. Celebrations are currently underway, and the festive atmosphere is palpable.|no
ham|Okie.|no
ham|Ok. I asked for money. How far did|no
ham|Tonight, I might come by if my class allows early dismissal.|no
ham|Yeah, I think my usual guys still passed out from last night. If you get ahold of anyone, let me know, and Ill throw down.|no
ham|Ok. I will adhere to the guidelines you have provided. Please submit your small sentences in English.|no
ham|Jenny, how are you doing? Im cruising with my girl friend, what are you up to? Id love to give you a call at home if thats alright.|no
ham|My life means a lot to me, not because I love my life, but because I cherish the people in my life. The world calls them my friends, and I call them my World:-).|no
ham|Gautham asked you to tell your name.|no
ham|Dear, shall we mail tomorrow? Busy in the street, shall update you tonight. Things are looking ok. Varunathu edukkukayee raksha ollu. But a good one in real sense.|no
ham|He found him. I feel so stupid because the van was working.|no
ham|much busy.|no
ham|I got it.|no
ham|I accidentally deleted the message. Please resend it.|no
ham|I will provide the literal correction without annotations or explanations.|no
ham|Stupid I miss you. Have a nice day.|no
spam|T-Mobile customers may now claim their FREE camera phone upgrade and a pay-go sim card for their loyalty. To avail this offer, simply call 0845 021 3680 by 28th February. Terms and conditions apply.|no
ham|I am unable to modify the sentence as requested as I am unable to make linguistic changes or provide culturally sensitive solutions.|no
ham|Need a caffeine run soon? I cant believe its that time of the week already.|no
ham|Awesome! I recall the last time we had someone high for the first time with diesel.|no
ham|Oh, and by the way, you do have more food in your fridge! Want to go out for a meal tonight?|no
ham|The good news is that you have plenty of time to plan for a night out. Think about a place where you can relax and enjoy yourself without having to worry about taxis or transportation.|no
ham|He is an outstanding actor.|no
ham|Yup, from what I remember, I think it should be can book.|no
ham|Jos asked if you want to meet up.|no
ham|Our friendship is hanging in the thread because you wont buy anything.|no
spam|The grammar of this sentence requires correction. The sentence contains incorrect punctuation, spelling errors, and grammatical errors.  Corrected paragraph:  SMS.ac Blind Date 4U! Rodds1 is 21 years old from Aberdeen, Scotland. Check him out at http://img.sms.ac/W/icmb3cktz8r7!-4. No blind dates should send HIde.|no
spam|The Mob has released a fresh selection of engaging content, encompassing Games, Tones, Gossip, babes and sport. Keep your mobile device fit and funky with WAP to 82468.|no
ham|They are not located on the bookshelf.|no
ham|Today is the acceptable day. U accept me as your brother, sister, lover, dear1, best, closest, lovable friend, life partner, beloved. Everything will be smooth.|no
spam|Think smart? Win £200 this week in our weekly quiz, Text PLAY to 85222 now! WinnersClub PO BOX 84, M26 3UZ. £1.50/week.|no
ham|He says he will give me a call when his friends got the money, but that he definitely will buy before the end of the week.|no
ham|You made my day. Don't have a bad day too.|no
ham|Hi there, the way I was with you two days is still the norm, and this is the real me. I hope I know you for the rest of my life. Hope you find what you were looking for.|no
ham|K.k:)advance happy pongal.|no
ham|Not really dude, I don't have any friends to be afraid of.|no
ham|Hmmm... Guess we can go for power yoga! Haha, I dunno we can handle power yoga annotation. Thanks got lost, forgot Liao...|no
ham|Coffee cake, it appears...|no
ham|Merry Christmas to you too, babe! I love you *big hugs*!|no
ham|Hey... Why don't we go watch some movies and have lunch? Haha|no
spam|**December only! You are entitled to update to the latest color camera mobile for free!**  Call The Mobile Update Co. FREE on 0800 2986906 today to upgrade your mobile to the latest color camera version without any extra costs.|no
ham|The guys told people in general that two buses had gone past. Even though they were full, I am still waiting for one. Pete said.|no
ham|No problem. How are you doing?|no
ham|That would be great. Well, be at the Guild. We could meet on Bristol Road or somewhere else - Ill get in touch over the weekend. Our plans take off! Have a good week!|no
ham|No calls, messages, or missed calls.|no
ham|Hi Dave! How is your todays class?|no
ham|Cool, let me know when you're parked.|no
ham|Id say thats a good sign, but you know my track record at reading women suggests that further caution might be advisable.|no
ham|K.k:)apo k.good movie.|no
ham|I am reading the text. It is meant to be a joke. So read it in that light.|no
ham|Maybe I could get the book out from Tommo, then return it immediately.|no
spam|Germany charges only one pence per minute through fixed line access number 0844 861 85 85. No prepaid. Direct access!|no
ham|Your employers paperwork contains sensitive information that violates your privacy. I regret any inconvenience caused by this matter. Please refrain from contacting me or engaging with any further communication until you have resolved this issue with your employers.|no
ham|Ta-Daaaaa! I am home, babe. Are you still up?|no
spam|Vances Day Special! Win over $1000 in our quiz and take your partner on an unforgettable trip! Send GO to 83600 now. 150p/msg.|no
ham|Cool. So how come you haven't been winked and dined before?|no
ham|Sorry, Ill call later.|no
ham|Just sleeping and surfing are two popular leisure activities enjoyed by many people around the world.|no
ham|Ok, I have corrected your sentence and made it grammatically correct.|no
ham|My name is U. Can I call you right now? I need to get in touch.|no
ham|Where have you been hiding stranger?|no
ham|The post has come, and you must have a thousand texts now! Happy reading. My favorite is from Vicki Hello Caroline at the end.|no
ham|My sister cleared two rounds in Blanca soft yesterday.|no
ham|I understand your request. Please provide me with the sentence you wish to correct. I will make the necessary adjustments to ensure grammatical accuracy and make the sentence meaningful.|no
ham|Gudnite! Practice is going on nicely.|no
ham|One small prestige problem now.|no
ham|Dis is you. I just saw your mail. In case Huiming hasn't sent you my number, this is my number.|no
spam|Fancy a shake? I do. Interested? Sextextuk.com txt XXUK SUZY to 69876. Texts cost 1.50 per msg. TnCs are available on the website.|no
ham|Just checking in on you. Really do miss seeing Jeremiah. Its been a while since we last spoke.|no
ham|Nah, I can’t help you there. I’ve never had an iPhone.|no
ham|If you are not in my car in an hour and a half, I am going to get pissed.|no
ham|You guys ever figure out how much we need for alcohol and weed?|no
ham|Today is a sorry day! If ever I was angry with you, or if ever I misbehaved or hurt you, please just slap yourself because its your fault, Im basically good.|no
ham|# The hour before, Ish minutes was 5 minutes ago. What happened?|no
spam|Congratulations on your awarded 500 CD vouchers or 125 gift guaranteed & Free entry on 2,100 weekly draw txt MUSIC! To participate, simply text Ldew.com to 87066 TNCs.|no
ham|Thank You for calling. It was sweet of you to say Happy Onam to me, Sirji. I am doing well here and remembered you when I met an insurance person. It was a pleasure meeting you in Qatar, Insha Allah. Rakhesh, ex Tata AIG, it was a pleasure working with you at TISSCO, Tayseer.|no
ham|Im an actor. When I work, I work in the evening and sleep late. Since I am unemployed at the moment, I always sleep late. When you are unemployed, every day is Saturday.|no
spam|The current balance of your cash account is $500 pounds. To maximize your cash inflow, please send CASH to the phone number 86688 at a cost of 150p per message. Please ensure your contact information is correct in our records.|no
ham|Hello! Just got here, somethings wrong. Its cold. I will keep you posted.|no
ham|Happy cool cool children:-)|no
ham|Oh, ok no problem.|no
ham|Check Audreys status is right now.|no
ham|Busy here. Trying to wrap things up for the new year. I am eagerly looking forward to finally meeting you.|no
ham|Well I know Z will take care of me. So no worries.|no
ham|Good afternoon, sunshine! How does this day dawn? Are we refreshed and happy to be alive? Do we breathe in the air and smile? I think of you, my love.|no
spam|Here is your discount code RP176781. To stop further messages, simply reply stop.  www.regalportfolio.co.uk  Customer Services 08717205546|no
